name,RevT,DLM,TCF,TCT,UF,FTs,Size,Art
prison_population_projections_scotland,2013-11-16,2011-12-11,,,,{u'': 3},53.1,3
local_authority_revenue_outturn_expenditure_wales,2013-11-16,2011-12-11,,,,{u'': 6},252.6,6
fuel_poverty_sub-regional_statistics,2013-11-16,2011-12-11,,,,{u'': 2},40.8,2
scottish_care_homes_census,2013-11-16,2011-12-11,,,annual,{u'': 5},358.6,5
local_government_pension_scheme_funds_wales,2013-11-16,2011-12-11,,,,{u'': 5},130.4,5
local_health_profiles,2013-11-16,2011-12-11,,,,{u'': 2},129.0,2
scottish_corporate_sector_statistics,2013-11-16,2011-12-11,,,,{u'': 4},66.0,4
sdq7-assets_liabilities_and_transactions_in_finance_leasing_factoring_and_credit_granting,2013-11-16,2011-12-11,,,quarterly,{u'': 9},143.4,9
gdp_and_the_labour_market,2013-11-16,2011-12-11,,,quarterly,{u'': 35},521.9,35
general_lifestyle_survey,2013-11-16,2011-12-11,,,,{u'': 4},75.7,4
scottish_stroke_care_audit,2013-11-16,2011-12-11,,,,{u'': 5},151.1,5
scottish_transport_statistics,2013-11-16,2011-12-11,,,,{u'': 5},97.6,5
statistics_of_completed_selection_exercises_and_recommendations_for_judicial_appointment_showing_div,2013-11-16,2011-12-11,,,,{u'': 6},158.2,6
statistics_on_deaths_reported_to_coroners_england_and_wales,2013-11-16,2011-12-11,,,annual,{u'': 4},204.4,4
statistics_on_commuting_in_wales,2013-11-16,2011-12-11,,,,{u'': 5},211.5,5
statistics_on_average_hours_worked_wales,2013-11-16,2011-12-11,,,,{u'': 4},168.2,4
substance_misuse_in_wales,2013-11-16,2011-12-11,,,,{u'': 11},468.3,11
students_in_higher_education_institutions_in_wales,2013-11-16,2011-12-11,,,,{u'': 5},212.1,5
local_authority_non-decent_homes_provisional_estimates,2013-11-16,2011-12-11,,,,{u'': 1},24.9,1
local_authority_population_projections_for_wales,2013-11-16,2011-12-11,,,,{u'': 4},149.9,4
northern_ireland_seatbelt_survey,2013-11-16,2011-12-11,,,,{u'': 4},106.0,4
northern_ireland_school_meals,2013-11-16,2011-12-11,,,annual,{u'': 3},83.9,3
northern_ireland_transport_statistics,2013-11-16,2011-12-11,,,,{u'': 5},194.0,5
northern_ireland_road_and_rail_quarterly_bulletin,2013-11-16,2011-12-11,,,quarterly,{u'': 17},853.2,17
northern_ireland_health_and_social_care_inequalities_monitoring_system_third_update_bulletin,2013-11-16,2011-12-11,,,,{u'': 1},27.4,1
income_support_lone_parent_regime,2013-11-16,2011-12-11,,,quarterly,{u'': 8},186.7,8
independent_school_inspections_and_outcomes,2013-11-16,2011-12-11,,,,{u'': 2},128.2,2
independent_schools_census,2013-11-16,2011-12-11,,,,{u'': 2},82.1,2
independent_school_census,2013-11-16,2011-12-11,,,annual,{u'': 1},20.4,1
northern_ireland_general_practice_patient_survey,2013-11-16,2011-12-11,,,,{u'': 2},67.6,2
integrated_household_survey,2013-11-16,2011-12-11,,,,{u'': 4},71.0,4
northern_ireland_farm_performance_indicators,2013-11-16,2011-12-11,,,,{u'': 4},90.0,4
northern_ireland_health_and_social_care_workforce_census_publication,2013-11-16,2011-12-11,,,,{u'': 5},151.2,5
northern_ireland_gms_quality_and_outcomes_framework_prevalence_bulletin,2013-11-16,2011-12-11,,,,{u'': 4},108.2,4
northern_ireland_health_and_social_care_key_facts_workforce_bulletin,2013-11-16,2011-12-11,,,,{u'': 17},513.9,17
knife_crime_sentencing,2013-11-16,2011-12-11,,,,{u'': 15},624.0,15
labour_force_survey_local_area_database_northern_ireland,2013-11-16,2011-12-11,,,,{u'': 4},158.7,4
labour_force_survey_quarterly_supplement,2013-11-16,2011-12-11,,,quarterly,{u'': 3},119.0,3
labour_force_survey_historical_supplement,2013-11-16,2011-12-11,,,,{u'': 1},39.6,1
labour_force_survey_local_area_database_northern_ireland_,2013-11-16,2011-12-11,,,,{u'': 2},79.4,2
labour_force_survey_religion_report,2013-11-16,2011-12-11,,,,{u'': 4},113.1,4
non-uk_born_workers,2013-11-16,2011-12-11,,,,{u'': 1},15.2,1
labour_force_survey_statistics_quarterly_supplement,2013-11-16,2011-12-11,,,quarterly,{u'': 5},184.9,5
labour_force_survey_quarterly_supplement_northern_ireland,2013-11-16,2011-12-11,,,quarterly,{u'': 1},39.7,1
non-residential_parental_contact,2013-11-16,2011-12-11,,,,{u'': 1},15.2,1
nhs_trust_staff_vacancies_in_wales,2013-11-16,2011-12-11,,,monthly,{u'': 5},206.0,5
the_labour_market_across_the_uk_in_the_current_recession,2013-11-16,2011-12-11,,,,{u'': 1},15.1,1
the_compendium_of_motorcycling_statistics,2013-11-16,2011-12-11,,,,{u'': 2},99.7,2
land_under_environmental_management,2013-11-16,2011-12-11,,,,{u'': 3},90.1,3
nhs_waiting_times_for_wales,2013-11-16,2011-12-11,,,,{u'': 12},499.9,12
learner_travel_in_wales,2013-11-16,2011-12-11,,,,{u'': 1},38.7,1
transport_and_travel_in_scotland,2013-11-16,2011-12-11,,,,{u'': 2},39.1,2
transport_trends_scotland,2013-11-16,2011-12-11,,,,{u'': 2},39.1,2
transport_statistics_wales,2013-11-16,2011-12-11,,,,{u'': 2},68.1,2
turnover_and_orders_in_production_and_services_industries,2013-11-16,2011-12-11,,,monthly,{u'': 45},693.6,45
uk_overseas_trade_statistics,2013-11-16,2011-12-11,,,,{u'': 88},4570.1,88
good_relations_indicators,2013-11-16,2011-12-11,,,,{u'': 1},44.3,1
nhs_immunisation_statistics_wales,2013-11-16,2011-12-11,,,,{u'': 6},247.9,6
new_criminal_offences_england_and_wales,2013-11-16,2011-12-11,,,monthly,{u'': 2},54.5,2
new_house_building_and_sales_of_social_housing,2013-11-16,2011-12-11,,,,{u'': 8},333.2,8
national_non-domestic_rates_collected_by_local_authorities,2013-11-16,2011-12-11,,,quarterly,{u'': 14},588.8,14
gp_access_survey_for_wales,2013-11-16,2011-12-11,,,,{u'': 2},84.3,2
gp_access_survey,2013-11-16,2011-12-11,,,,{u'': 1},19.4,1
mushroom_survey_england,2013-11-16,2011-12-11,,,,{u'': 1},23.1,1
municipal_waste_management_survey,2013-11-16,2011-12-11,,,,{u'': 2},84.3,2
prison_population_projections_england_and_wales,2013-11-16,2011-12-11,,,monthly,{u'': 3},134.0,3
private_landlord_survey,2013-11-16,2011-12-11,,,,{u'': 1},28.7,1
prevalence_of_disability_in_wales,2013-11-16,2011-12-11,,,annual,{u'': 1},38.6,1
prescriptions_dispensed_in_the_community_wales,2013-11-16,2011-12-11,,,,{u'': 5},212.6,5
primary_1_body_mass_index_bmi_statistics,2013-11-16,2011-12-11,,,annual,{u'': 3},180.1,3
poverty_and_income_inequality_in_scotland,2013-11-16,2011-12-11,,,,{u'': 3},52.9,3
population_of_0-19_year_olds_in_wales,2013-11-16,2011-12-11,,,,{u'': 1},40.3,1
population_aged_50_and_over_in_wales,2013-11-16,2011-12-11,,,,{u'': 1},43.1,1
population_clock,2013-11-16,2011-12-11,,,,{u'': 1},9.2,1
port_employment_and_accident_rates,2013-11-16,2011-12-11,,,,{u'': 1},49.9,1
population_estimates_by_ethnic_group,2013-11-16,2011-12-11,,,,{u'': 2},83.6,2
population_projections_for_national_parks_in_wales,2013-11-16,2011-12-11,,,,{u'': 2},83.5,2
gp_workforce_and_practice_population_statistics,2013-11-16,2011-12-11,,,,{u'': 5},115.8,5
performance_indicators_in_higher_education_in_the_uk,2013-11-16,2011-12-11,,,annual,{u'': 3},106.8,3
pedestrian_road_casualties_in_wales,2013-11-16,2011-12-11,,,,{u'': 5},207.7,5
people_and_culture_in_scotland,2013-11-16,2011-12-11,,,,{u'': 2},30.7,2
people_and_sport_in_scotland,2013-11-16,2011-12-11,,,,{u'': 2},35.6,2
gp_patient_experience_survey_,2013-11-16,2011-12-11,,,,{u'': 1},19.4,1
multi_agency_public_protection_arrangements_annual_report,2013-11-16,2011-12-11,,,annual,{u'': 2},50.9,2
gross_expenditure_on_research_and_development_scotland,2013-11-16,2011-12-11,,,,{u'': 4},66.0,4
motorcycle_user_casualties_in_wales,2013-11-16,2011-12-11,,,,{u'': 5},208.0,5
grassland_fires_wales,2013-11-16,2011-12-11,,,,{u'': 4},166.8,4
uk_seafarer_statistics,2013-11-16,2011-12-11,,,annual,{u'': 1},49.9,1
hearing_aid_assessments_and_re-assessments,2013-11-16,2011-12-11,,,quarterly,{u'': 7},244.9,7
monitoring_the_national_transport_plan,2013-11-16,2011-12-11,,,,{u'': 4},167.3,4
healthy_life_expectancy,2013-11-16,2011-12-11,,,,{u'': 4},189.5,4
healthcare_scientists_workforce_planning_report,2013-11-16,2011-12-11,,,,{u'': 1},19.4,1
health_trends_in_wales,2013-11-16,2011-12-11,,,,{u'': 1},42.1,1
women_in_northern_ireland,2013-11-16,2011-12-11,,,,{u'': 5},198.4,5
winter_fuel_payments_made_to_individuals_living_in_eea_countries,2013-11-16,2011-12-11,,,quarterly,{u'': 1},21.9,1
migration_statistics_wales,2013-11-16,2011-12-11,,,,{u'': 2},81.0,2
homes_and_communities_agency_national_housing_statistics,2013-11-16,2011-12-11,,,,{u'': 5},222.3,5
homicide_in_scotland,2013-11-16,2011-12-11,,,,{u'': 6},125.3,6
workless_households_for_regions_across_the_uk,2013-11-16,2011-12-11,,,,{u'': 6},97.2,6
homes_and_communities_agency_national_affordable_housing_statistics,2013-11-16,2011-12-11,,,,{u'': 1},44.5,1
hospital_standardised_mortality_ratios,2013-11-16,2011-12-11,,,quarterly,{u'': 14},693.9,14
hospital_estates_and_facilities_statistics,2013-11-16,2011-12-11,,,,{u'': 4},125.5,4
mental_health_officers_scotland,2013-11-16,2011-12-11,,,annual,{u'': 4},77.6,4
mental_health_psychiatric_hospital_activity_statistics,2013-11-16,2011-12-11,,,,{u'': 5},55.2,5
mental_health-learning_disability_statistics,2013-11-16,2011-12-11,,,,{u'': 4},105.9,4
mergers_and_acquisitions_involving_uk_companies,2013-11-16,2011-12-11,,,,{u'': 19},333.0,19
housing_benefit-council_tax_benefit_speed_of_processing,2013-11-16,2011-12-11,,,,{u'': 8},283.0,8
housing_demolitions_and_hazards_in_wales,2013-11-16,2011-12-11,,,,{u'': 3},124.7,3
housing_health_and_safety_rating_system,2013-11-16,2011-12-11,,,,{u'': 1},42.1,1
births_and_infant_mortality_statistics_in_wales,2013-11-16,2011-12-11,,,,{u'': 5},208.1,5
staff_at_further_education_institutions_in_wales,2013-11-16,2011-12-11,,,,{u'': 5},208.4,5
attainment_in_higher_education_and_destination_of_leavers,2013-11-16,2011-12-11,,,,{u'': 1},17.6,1
attainment_in_higher_education_and_destination_of_leavers_scotland,2013-11-16,2011-12-11,,,,{u'': 2},35.3,2
staff_directly_employed_by_the_nhs_in_wales,2013-11-16,2011-12-11,,,,{u'': 4},166.3,4
assessment_and_examination_performance_in_wales-comparison_with_england_and_its_regions,2013-11-16,2011-12-11,,,,{u'': 4},168.5,4
assembly_learning_grants_awarded_to_welsh_domiciled_students_in_further_education,2013-11-16,2011-12-11,,,,{u'': 5},209.3,5
labour_productivity,2013-11-16,2011-12-11,,,,{u'': 15},265.9,15
attainment_by_pupil_characteristics,2013-11-16,2011-12-11,,,,{u'': 11},222.4,11
statistical_review_of_northern_ireland_agriculture,2013-11-16,2011-12-11,,,,{u'': 4},91.8,4
statistical_press_release_,2013-11-16,2011-12-11,,,,{u'': 6},686.2,6
learning_network_analysis_for_wales,2013-11-16,2011-12-11,,,,{u'': 5},208.3,5
legal_services_commission_annual_statistics_report,2013-11-16,2011-12-11,,,annual,{u'': 2},105.7,2
level_of_highest_qualification_held_by_working_age_adults_in_wales,2013-11-16,2011-12-11,,,,{u'': 4},168.5,4
learning_and_skills_inspections_and_outcomes,2013-11-16,2011-12-11,,,,{u'': 2},133.1,2
statistical_press_release,2013-11-16,2011-12-11,,,,{u'': 3},274.5,3
armed_forces_continuous_attitude_survey_headline_results,2013-11-16,2011-12-11,,,,{u'': 1},16.1,1
animal_feed_statistics_northern_ireland,2013-11-15,2011-12-11,,,monthly,{u'': 1},23.3,1
statistical_focus_on_crime_in_wales,2013-11-16,2011-12-11,,,,{u'': 1},40.0,1
summary_statistics_for_schools_in_scotland,2013-11-16,2011-12-11,,,,{u'': 3},61.2,3
summary_statistics_for_attainment_leaver_destinations_and_school_meals,2013-11-16,2011-12-11,,,,{u'': 3},61.3,3
support_needs_system_summary_statistics,2013-11-16,2011-12-11,,,annual,{u'': 3},90.2,3
tobacco_duties_factsheet,2013-11-16,2011-12-11,,,,{u'': 1},54.5,1
paye_and_corporation_tax_receipts_from_the_banking_sector,2013-11-16,2011-12-11,,,,{u'': 3},53.7,3
patients_in_mental_health_hospitals_and_units,2013-11-16,2011-12-11,,,,{u'': 5},208.1,5
patient_experience_overall_measure,2013-11-16,2011-12-11,,,,{u'': 5},91.6,5
orchard_fruit_survey,2013-11-16,2011-12-11,,,,{u'': 2},36.7,2
older_people_in_wales,2013-11-16,2011-12-11,,,,{u'': 4},165.7,4
offender_management_statistics_quarterly_bulletin,2013-11-16,2011-12-11,,,quarterly,{u'': 9},1630.8,9
tribunal_service_quarterly_statistics,2013-11-16,2011-12-11,,,quarterly,{u'': 11},144.7,11
police_reported_road_traffic_fatalities_in_wales,2013-11-16,2011-12-11,,,,{u'': 1},40.5,1
planning_performance_statistics,2013-11-16,2011-12-11,,,quarterly,{u'': 13},168.3,13
place_survey,2013-11-16,2011-12-11,,,,{u'': 1},74.8,1
pharmaceutical_services_in_wales,2013-11-16,2011-12-11,,,,{u'': 3},110.6,3
people_with_disabilities_in_the_labour_market,2013-11-16,2011-12-11,,,,{u'': 1},16.2,1
perceptions_of_a_levels_and_gcses,2013-11-16,2011-12-11,,,,{u'': 3},80.8,3
pedal_cyclist_casualties_in_wales,2013-11-16,2011-12-11,,,,{u'': 5},207.7,5
participation_in_higher_education_at_scottish_institutions,2013-11-16,2011-12-11,,,,{u'': 1},17.6,1
participation_in_full-time_education_and_vocational_training_by_16_and_17_year_olds_northern_ireland,2013-11-16,2011-12-11,,,,{u'': 2},60.4,2
universities_and_colleges_admissions_service_ucas_statistics,2013-11-16,2011-12-11,,,,{u'': 4},166.2,4
unintentional_injuries,2013-11-16,2011-12-11,,,,{u'': 5},87.9,5
unece_timber_committee_questionnaire,2013-11-16,2011-12-11,,,,{u'': 3},74.6,3
weekly_market_report_average_livestock_and_crop_prices_northern_ireland,2013-11-16,2011-12-11,,,,{u'': 1},22.9,1
sexual_identity_in_wales,2013-11-16,2011-12-11,,,,{u'': 1},39.5,1
social_care_inspections_and_outcomes,2013-11-16,2011-12-11,,,,{u'': 2},130.1,2
social_care_providers_and_places,2013-11-16,2011-12-11,,,,{u'': 2},127.2,2
social_housing_rents_and_rent_arrears_in_wales,2013-11-16,2011-12-11,,,,{u'': 3},126.4,3
scottish_crime_and_justice_survey_report,2013-11-16,2011-12-11,,,,{u'': 10},208.8,10
scottish_greenhouse_gas_emissions,2013-11-16,2011-12-11,,,,{u'': 4},77.1,4
scottish_forestry_strategy_indicators,2013-11-16,2011-12-11,,,annual,{u'': 3},48.5,3
scottish_economic_statistics,2013-11-16,2011-12-11,,,,{u'': 1},19.7,1
schools_in_wales-general_statistics,2013-11-16,2011-12-11,,,,{u'': 2},84.4,2
scottish_house_condition_survey-local_authority_report,2013-11-16,2011-12-11,,,annual,{u'': 6},84.5,6
analysis_of_participation_in_post-16_education_and_training_in_wales,2013-11-15,2011-12-11,,,,{u'': 2},82.5,2
animal_feed_statistics_notice_gb,2013-11-15,2011-12-11,,,,{u'': 16},180.6,16
sickness_absence_in_the_nhs_in_wales,2013-11-16,2011-12-11,,,quarterly,{u'': 13},545.3,13
sickness_absence_in_the_labour_market,2013-11-16,2011-12-11,,,,{u'': 3},46.5,3
six_month_offer_stats_,2013-11-16,2011-12-11,,,monthly,{u'': 2},38.0,2
size_and_performance_of_the_northern_ireland_food_and_drinks_processing_sector_subsector_statistics,2013-11-16,2011-12-11,,,,{u'': 5},90.0,5
size_analysis_of_welsh_businesses,2013-11-16,2011-12-11,,,,{u'': 3},124.1,3
social_services_statistics_wales,2013-11-16,2011-12-11,,,,{u'': 3},124.0,3
social_housing_stock_lettings_and_vacancies_in_wales,2013-11-16,2011-12-11,,,,{u'': 3},126.4,3
social_landlords_possessions_and_evictions_wales,2013-11-16,2011-12-11,,,,{u'': 3},124.1,3
unemployment_during_the_economic_downturn,2013-11-16,2011-12-11,,,,{u'': 1},15.6,1
wild_bird_populations-sustainable_development_strategy_and_public_service_agreement_indicators,2013-11-16,2011-12-11,,,,{u'': 2},48.2,2
wild_bird_population_indicators_for_the_english_regions,2013-11-16,2011-12-11,,,,{u'': 2},48.2,2
workforce_statistics_for_general_practitioners_in_wales,2013-11-16,2011-12-11,,,,{u'': 1},43.8,1
safety_in_custody_supplementary_tables,2013-11-16,2011-12-11,,,,{u'': 1},33.6,1
statistics_on_women_and_the_criminal_justice_system,2013-11-16,2011-12-11,,,,{u'': 2},78.2,2
survey_of_agriculture_and_horticulture_wales,2013-11-16,2011-12-11,,,,{u'': 6},254.0,6
surgical_profiles_project,2013-11-16,2011-12-11,,,,{u'': 1},75.4,1
survey_compliance_costs_to_businesses_and_local_authorities,2013-11-16,2011-12-11,,,,{u'': 3},43.2,3
total_fuels_consumption_at_local_authority_level,2013-11-16,2011-12-11,,,,{u'': 4},53.5,4
vte_risk_assessment_data_collection,2013-11-16,2011-12-11,,,,{u'': 10},501.6,10
welsh_agricultural_statistics,2013-11-16,2011-12-11,,,,{u'': 4},168.6,4
welsh_bus_passenger_survey,2013-11-16,2011-12-11,,,,{u'': 2},83.0,2
welsh_health_survey-local_authority_report,2013-11-16,2011-12-11,,,,{u'': 1},42.2,1
school_closures_due_to_extreme_weather_conditions,2013-11-16,2011-12-11,,,,{u'': 2},80.4,2
school_estate_statistics_scotland,2013-11-16,2011-12-11,,,,{u'': 3},61.3,3
participation_of_young_people_in_education_and_the_labour_market_in_wales,2013-11-16,2011-12-11,,,,{u'': 5},208.5,5
painting_pictures_of_place_series_topic_profiles,2013-11-16,2011-12-11,,,,{u'': 4},64.4,4
outcomes_for_looked_after_children,2013-11-16,2011-12-11,,,,{u'': 1},19.2,1
outcome_indicators_for_looked_after_children,2013-11-16,2011-12-11,,,monthly,{u'': 1},27.3,1
outcomes_for_children_looked_after_by_local_authorities_in_england,2013-11-16,2011-12-11,,,monthly,{u'': 3},106.8,3
northern_ireland_health_social_care_inequalities_monitoring_system-an_equality_analysis_of_mortality,2013-11-16,2011-12-11,,,,{u'': 1},27.4,1
northern_ireland_hospital_statistics-inpatient_and_day_case_activity,2013-11-16,2011-12-11,,,,{u'': 3},88.0,3
northern_ireland_health_and_social_care_workforce_vacancies_publication,2013-11-16,2011-12-11,,,,{u'': 8},241.9,8
northern_ireland_labour_market_report,2013-11-16,2011-12-11,,,,{u'': 32},1248.0,32
science_engineering_and_technology_indicators,2013-11-16,2011-12-11,,,,{u'': 3},68.9,3
scotland_and_european_health_for_all_database,2013-11-16,2011-12-11,,,,{u'': 2},94.8,2
noms_annual_equalities_report,2013-11-16,2011-12-11,,,annual,{u'': 1},54.6,1
nhsscotland_nhs_board_revenue_budget_target_shares_calculated_using_the_new_resource_allocation_form,2013-11-16,2011-12-11,,,annual,{u'': 4},88.1,4
nhs_expenditure_programme_budgets_for_wales,2013-11-16,2011-12-11,,,,{u'': 4},163.6,4
schools_in_wales-examination_performance,2013-11-16,2011-12-11,,,,{u'': 5},211.0,5
school_revenue_balances,2013-11-16,2011-12-11,,,,{u'': 2},33.3,2
statistics_on_waiting_times_for_suspected_and_diagnosed_cancer_patients_annual_report,2013-11-16,2011-12-11,,,annual,{u'': 3},201.6,3
student_support_applications_for_higher_education_in_wales,2013-11-16,2011-12-11,,,,{u'': 9},385.1,9
student_loans_for_higher_education_in_scotland_financial_year_2008-09_provisional,2013-11-16,2011-12-11,,,,{u'': 1},17.6,1
survey_of_commercial_and_industrial_waste_arisings_in_england,2013-11-16,2011-12-11,,,,{u'': 2},50.0,2
survey_of_agriculture_wales,2013-11-16,2011-12-11,,,,{u'': 4},168.0,4
survey_of_vegetables_and_flowers,2013-11-16,2011-12-11,,,,{u'': 1},22.9,1
survey_of_public_attitudes_and_behaviours_towards_the_environment,2013-11-16,2011-12-11,,,,{u'': 3},69.0,3
tribunal_service_annual_statistics_publication,2013-11-16,2011-12-11,,,annual,{u'': 2},35.1,2
travel_diary,2013-11-16,2011-12-11,,,,{u'': 4},78.1,4
travel_by_scottish_residents,2013-11-16,2011-12-11,,,,{u'': 1},19.5,1
uk_armed_forces_quarterly_manpower_statistics,2013-11-16,2011-12-11,,,quarterly,{u'': 11},177.3,11
young_drivers_and_road_accidents_in_wales,2013-11-16,2011-12-11,,,,{u'': 3},126.6,3
young_people_in_the_labour_market,2013-11-16,2011-12-11,,,,{u'': 1},16.1,1
young_persons_guarantee,2013-11-16,2011-12-11,,,monthly,{u'': 1},25.5,1
search_and_rescue_monthly_report_and_pocket_brief,2013-11-16,2011-12-11,,,monthly,{u'': 34},537.6,34
second_tier_pension_provision,2013-11-16,2011-12-11,,,,{u'': 5},102.5,5
self-directed_care_census_scotland,2013-11-16,2011-12-11,,,,{u'': 5},97.0,5
sentencing_council_crown_court_sentencing_survey_bulletin,2013-11-16,2011-12-11,,,,{u'': 1},10.7,1
sea_passenger_bulletin,2013-11-16,2011-12-11,,,annual,{u'': 2},99.8,2
scottish_survey_of_achievement,2013-11-16,2011-12-11,,,,{u'': 1},20.4,1
sentencing_statistics_brief_england_and_wales,2013-11-16,2011-12-11,,,quarterly,{u'': 10},476.7,10
service_settings_and_places_regulated_by_care_and_social_services_inspectorate_wales,2013-11-16,2011-12-11,,,,{u'': 9},213.1,9
summary_justice_reform_performance_report,2013-11-16,2011-12-11,,,,{u'': 6},125.3,6
summary_provisional_statistics_on_breath_alcohol_screening_tests_england_and_wales,2013-11-16,2011-12-11,,,,{u'': 1},49.9,1
summary_of_indicative_quality_indicator_results_from_hmie_inspections,2013-11-16,2011-12-11,,,,{u'': 1},20.4,1
teacher_assessments_of_the_non-core_subjects_wales,2013-11-16,2011-12-11,,,,{u'': 2},85.6,2
woodlands_for_wales_indicators,2013-11-16,2011-12-11,,,,{u'': 2},33.6,2
work_and_worklessness_among_households_in_scotland,2013-11-16,2011-12-11,,,annual,{u'': 1},19.0,1
affordable_housing_provision_in_wales_analysis,2013-11-15,2011-12-11,,,,{u'': 2},84.3,2
affordable_housing_in_wales,2013-11-15,2011-12-11,,,,{u'': 4},166.6,4
adult_community_statistics,2013-11-15,2011-12-11,,,quarterly,{u'': 4},132.9,4
british_survey_of_fertiliser_practice,2013-11-16,2011-12-11,,,,{u'': 4},88.3,4
bus_and_coach_statistics_scotland,2013-11-16,2011-12-11,,,,{u'': 4},97.3,4
admission_of_patients_to_mental_health_facilities,2013-11-15,2011-12-11,,,,{u'': 4},166.6,4
business_population_estimates_for_the_uk_and_regions,2013-11-16,2011-12-11,,,,{u'': 3},75.3,3
business_demography-enterprise_births_and_deaths_in_wales,2013-11-16,2011-12-11,,,,{u'': 4},166.8,4
business_enterprise_research_and_development_scotland,2013-11-16,2011-12-11,,,,{u'': 4},66.0,4
business_start-ups_and_closures-vat_registrations_and_de-registrations,2013-11-16,2011-12-11,,,,{u'': 1},15.4,1
access_to_finance,2013-11-15,2011-12-11,,,,{u'': 1},15.3,1
cancelled_operation_england,2013-11-16,2011-12-11,,,,{u'': 15},679.7,15
cancer_mortality,2013-11-16,2011-12-11,,,,{u'': 5},149.8,5
academic_achievement_and_entitlement_to_free_school_meals_wales,2013-11-15,2011-12-11,,,annual,{u'': 5},208.2,5
academic_achievement_by_pupil_characteristics_wales,2013-11-15,2011-12-11,,,annual,{u'': 5},210.4,5
capital_forecast_live_table,2013-11-16,2011-12-11,,,,{u'': 4},210.9,4
children_order_statistical_bulletin,2013-11-16,2011-12-11,,,annual,{u'': 2},50.8,2
access_arrangements_for_gcse_and_gce,2013-11-15,2011-12-11,,,,{u'': 4},97.5,4
commuting_to_work,2013-11-16,2011-12-11,,,,{u'': 1},14.8,1
children_with_special_educational_needs-an_analysis,2013-11-16,2011-12-11,,,,{u'': 3},96.2,3
compendium_of_motorcycling_statistics,2013-11-16,2011-12-11,,,,{u'': 1},27.3,1
compendium_of_northern_ireland_education_statistics,2013-11-16,2011-12-11,,,,{u'': 2},53.9,2
community_payback_orders_commenced,2013-11-16,2011-12-11,,,monthly,{u'': 3},58.7,3
community_dental_service_in_wales,2013-11-16,2011-12-11,,,,{u'': 5},214.1,5
children_order_child_protection_register_and_referral_statistics,2013-11-16,2011-12-11,,,quarterly,{u'': 14},516.5,14
cervical_screening_statistics,2013-11-16,2011-12-11,,,,{u'': 6},224.5,6
commissioner_based_waiting_times_statistics_for_suspected_and_diagnosed_cancer_patients,2013-11-16,2011-12-11,,,,{u'': 3},205.4,3
the_effect_of_vat_on_household_disposable_income,2013-11-09,2011-12-11,,,,{u'': 1},16.2,1
local_profiles,2013-11-02,2011-12-11,,,,{u'': 4},59.3,4
the_effect_of_duties_on_petrol_and_diesel_on_household_disposable_income,2013-11-09,2011-12-11,,,,{u'': 1},16.7,1
improved_local_authority_immigration_statistics,2013-03-23,2011-12-11,,,,{u'': 1},16.4,1
population_estimates_of_the_very_elderly,2013-11-02,2011-12-11,,,,{u'': 1},18.9,1
quality_report-user_guide_northern_ireland_population_estimates,2013-10-12,2011-12-11,,,,{u'': 1},32.4,1
the_uk_fishing_industry-structure_and_activity,2013-11-02,2011-12-11,,,,{u'': 2},63.3,2
gender_equality_strategy-baseline_picture_update,2013-09-14,2011-12-11,,,,{u'': 1},24.6,1
young_persons_behaviour_and_attitudes_survey,2013-06-19,2011-12-11,,,,{u'': 1},22.9,1
personal_wealth,2013-10-26,2011-12-11,,,,{u'': 2},41.7,2
annual_conceptions_to_women_aged_under_18_england_and_wales,2013-11-01,2011-12-11,,,annual,{u'': 1},16.4,1
business_demography,2013-11-08,2011-12-11,,,,{u'': 3},50.1,3
chp_health_and_wellbeing_profiles,2013-06-19,2011-12-11,,,,{u'': 1},0.1,1
life_expectancy,2013-03-11,2011-12-11,,,,{u'': 1},0.3,1
international_migration,2013-11-02,2011-12-11,,,,{u'': 1},14.5,1
lifetime_oppurtunuties_monitoring_framework,2013-08-10,2011-12-11,,,,{u'': 1},25.8,1
estimates_of_the_population_aged_85_and_over_northern_ireland,2013-10-04,2011-12-11,,,,{u'': 2},50.6,2
children_missing_from_home_or_care,2013-06-19,2011-12-11,,,,{u'': 1},11.4,1
centenarians_in_scotland_,2013-10-04,2011-12-11,,,,{u'': 1},12.8,1
statistics_of_the_employment_tribunals_selection_and_recommendations_for_appointment_exercise_showin,2013-06-19,2011-12-11,,,,{u'': 1},4.8,1
criminal_justice_system_information,2013-04-12,2011-12-11,,,quarterly,{u'': 3},148.0,3
key_stage_2_attainment_of_pupils_in_science_in_england,2013-06-19,2011-12-11,,,,{u'': 1},11.4,1
procedures_for_the_release_of_cancer_microdata,2013-11-02,2011-12-11,,,,{u'': 1},15.3,1
northern_ireland_cancer_waiting_times,2013-09-28,2011-12-11,,,,{u'': 22},596.8,22
schools_providing_access_to_extended_services,2013-06-19,2011-12-11,,,,{u'': 1},11.4,1
northern_ireland_household_projections,2013-06-19,2011-12-11,,,,{u'': 1},33.6,1
income_support_northern_ireland,2013-10-05,2011-12-11,,,quarterly,{u'': 1},28.1,1
northern_ireland_state_pension_summary_statistics,2013-08-03,2011-12-11,,,quarterly,{u'': 1},26.0,1
uk_output_income_and_expenditure,2013-03-23,2011-12-11,,,,{u'': 10},163.8,10
police_service_northern_ireland_annual_statistics,2013-10-26,2011-12-11,,,annual,{u'': 2},32.4,2
